,Filename,NumAtoms,crest-hour,crest-min,crest-second,Hours,Minutes,Seconds,Time
23845,GPIHDERJSBQUPX-UBRQYEGLSA-N,51,2,34,48,0,0,31.621,31.621
23846,GYIXADMXLIWVCY-WRJWKURHSA-N,50,2,1,3,0,0,26.27,26.27
23847,GEFCACAYSAKOFD-UHFFFAOYSA-N,44,1,25,33,0,0,17.254,17.254
23848,GTGCXACPCDKIQB-SNVBAGLBSA-N,33,0,44,7,0,0,9.882,9.882
23849,GFJRSKFWGJMNHM-LAUBAEHRSA-N,58,15,54,1,0,0,29.959,29.959
23850,GSRKUYXYRORCEE-UHFFFAOYSA-N,29,1,0,51,0,0,13.62,13.62
23851,GZCRMXJUVIQCCG-PEOQWYCYSA-N,33,0,45,39,0,0,10.668,10.668
23852,GZIBQGYTNCNXBL-BGYRXZFFSA-N,40,0,26,58,0,0,17.747,17.747
23853,GSHDEFKORXVRRJ-UHFFFAOYSA-N,57,2,55,23,0,0,48.272,48.272
23854,GQORAAAWAQDGKC-UHFFFAOYSA-N,32,1,16,19,0,0,9.876,9.876
23855,GOQXDRBLJWRQPJ-UHFFFAOYSA-O,28,0,27,8,0,0,11.427999999999999,11.427999999999999
23856,GVHRXQZYTMSTMZ-UHFFFAOYSA-N,29,0,26,46,0,0,7.657,7.657
23857,GASOOCPLRUQUIQ-UDWIEESQSA-N,53,3,38,28,0,0,36.811,36.811
23858,GUARBPUCTMLHRK-UHFFFAOYSA-N,32,0,52,27,0,0,9.138,9.138
23859,GZZQIGFNKNMYAZ-JOCHJYFZSA-N,54,15,55,29,0,0,38.28,38.28
23860,GVFJPPOLAQALHD-FHWLQOOXSA-N,45,0,36,34,0,0,20.785999999999998,20.785999999999998
23861,GOJVXWAVMZKWKX-UUWLPUTASA-N,35,0,30,31,0,0,11.219000000000001,11.219000000000001
23862,GMVMWEIIGKRJBU-JTQLQIEISA-N,24,0,11,16,0,0,3.528,3.528
23863,GBACQEIXUIVAQC-UHFFFAOYSA-N,48,3,36,7,0,0,29.599,29.599
23864,GRWAIJBHBCCLGS-UHFFFAOYSA-N,13,0,5,17,0,0,0.884,0.884
23865,GXWKQEWUPWZQPW-IBGZPJMESA-N,41,0,28,37,0,0,14.565999999999999,14.565999999999999
23866,GAVLWAVBXANOLX-NTEUORMPSA-N,33,0,48,11,0,0,10.574000000000002,10.574000000000002
23867,GAWJSVHRCDPFNI-UHFFFAOYSA-P,47,1,15,56,0,0,19.69,19.69
23868,GIQIXYBUYQKVPT-UHFFFAOYSA-N,20,0,12,4,0,0,3.2239999999999998,3.2239999999999998
23869,GUHMVPJTEXAAJQ-UHFFFAOYSA-N,51,3,39,38,0,0,30.25,30.25
23870,GDGPNTNWBGFGBL-MWLCHTKSSA-N,24,0,13,9,0,0,3.5789999999999997,3.5789999999999997
23871,GPOGAMQZTGLFEJ-PQXYHQLWSA-N,47,1,58,23,0,0,18.761,18.761
23872,GFRLJSPFTJZZEC-ISILISOKSA-N,61,2,18,37,0,0,46.729,46.729
23873,GVXDGAVYIZYZDH-UHFFFAOYSA-N,93,16,9,29,0,3,6.4479999999999995,186.44799999999998
23874,GWBNTUNGWHMFMJ-GJMOJQLCSA-N,31,1,24,36,0,0,8.146,8.146
23875,GKOPHSXEQSIHQE-UHFFFAOYSA-N,25,0,14,58,0,0,4.637,4.637
23876,GUAGUDLFUAVYSS-GRLWTPEZSA-N,54,6,12,45,0,0,28.752,28.752
23877,GGPCHDSVOLORFT-LXGUWJNJSA-N,31,0,20,33,0,0,6.417000000000001,6.417000000000001
23878,GUBGYTABKSRVRQ-QRZGKKJRSA-N,45,1,57,5,0,0,17.628,17.628
23879,GGQGLUNHBHYZCH-FOCLMDBBSA-P,38,1,13,52,0,0,11.339,11.339
23880,GYJYQAXFHFCTPB-UHFFFAOYSA-N,37,1,29,53,0,0,14.694,14.694
23881,GXGKYNDAUGJOHV-FSSWDIPSSA-N,53,1,27,58,0,0,29.985,29.985
23882,GPVUFGAAHTVBSJ-UHFFFAOYSA-N,40,1,45,56,0,0,15.365,15.365
23883,GCRIJMRGKHQQJS-SBFPOUOMSA-N,41,0,25,32,0,0,11.763,11.763
23884,GQFITODJWOIYPF-UHFFFAOYSA-N,15,0,32,58,0,0,1.507,1.507
23885,GSOWCJQJXAJGTO-QFIPXVFZSA-N,43,0,57,17,0,0,24.448,24.448
23886,GRKGHJOWGJNUHC-OAHLLOKOSA-N,39,1,9,39,0,0,12.255999999999998,12.255999999999998
23887,GDYGAIKPBLFCKR-OIPGZRGRSA-N,36,0,21,54,0,0,11.392999999999999,11.392999999999999
23888,GXVZUCBWJCSZPF-UHFFFAOYSA-N,48,2,55,57,0,0,28.432,28.432
23889,GDTYEJFKXYUAGV-UHFFFAOYSA-N,33,1,7,2,0,0,10.912,10.912
23890,GUIGFQUQYSEELR-MHWRWJLKSA-N,32,0,44,20,0,0,6.979,6.979
23891,GBKSOKJOLQVKMZ-MQAYTSPESA-N,49,2,40,8,0,0,31.174,31.174
23892,GJVUZFSDIGXREC-UHFFFAOYSA-N,41,0,49,31,0,0,17.658,17.658
23893,GVRNTWSGBWPJGS-YSDSKTICSA-N,54,3,14,24,0,0,26.194000000000003,26.194000000000003
23894,GSFJJBDFQGJKOD-RQZCQDPDSA-N,36,0,36,3,0,0,10.384,10.384
23895,GTGVMZDCZKHPFB-UHFFFAOYSA-N,51,3,35,3,0,0,31.996,31.996
23896,GABNYABIZQHFPS-LGCXVIQUSA-N,26,0,30,58,0,0,4.705,4.705
23897,GFDAFHBPDGMDMA-CWHUZLPRSA-N,67,9,42,47,0,1,9.266,69.266
23898,GRFUVIWZTQTKFX-UCORVYFPSA-N,17,0,12,28,0,0,3.013,3.013
23899,GRELVJUUMCVAFV-UHFFFAOYSA-N,8,0,3,22,0,0,0.37799999999999995,0.37799999999999995
23900,GQYTWBPRZFRASB-UHFFFAOYSA-N,23,0,10,17,0,0,3.478,3.478
23901,GVBPXKYLEKRQIC-UHFFFAOYSA-N,35,0,34,2,0,0,10.622,10.622
23902,GDHWELOMRIZXBI-SECBINFHSA-N,26,0,14,43,0,0,5.122000000000001,5.122000000000001
23903,GYRKSQQGTMYLKC-UKGUCULKSA-N,81,9,2,43,0,1,32.5,92.5
23904,GXMWIJZDSCFVCG-YJBOKZPZSA-N,45,1,24,32,0,0,18.586,18.586
23905,GUDPWNNBUVXQGU-UHFFFAOYSA-N,34,0,40,55,0,0,7.709,7.709
23906,GREJCBRUFCLPNN-UHFFFAOYSA-N,28,0,22,45,0,0,5.847,5.847
23907,GULFHGMMWDUZFP-NTMALXAHSA-N,29,0,42,54,0,0,5.604,5.604
23908,GGXXBOMMYNFEKU-CORIIIEPSA-N,37,0,26,30,0,0,9.349,9.349
23909,GGYMMYAQNRDOQL-IYBDPMFKSA-N,48,4,53,12,0,0,24.401999999999997,24.401999999999997
23910,GFKUKBAEWHTWBK-UHFFFAOYSA-N,38,0,33,53,0,0,19.029,19.029
23911,GCZKIAHUIXWOGS-UHFFFAOYSA-N,22,0,9,31,0,0,3.0189999999999997,3.0189999999999997
23912,GZVOBUALKCQWRZ-UHFFFAOYSA-N,41,1,48,51,0,0,15.276,15.276
