# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename,Ring,PiStack,HBond,NumRotors,NumMethyl,SG
1286,dimethyl sulfate,C2H6O4S,0.0,1.0,77-78-1,6252,6497.0,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",VAYGXNSJCAHWJZ-UHFFFAOYSA-N,-687.0,0.0,22.0,-677.42,335.0,0.0,22.0,387.61,2.0,dimethyl-sulfate,0.0,0.0,0.0,2.0,2.0,0.0
1287,ethyl benzoate,C9H10O2,0.0,1.0,93-89-0,6897,7165.0,"InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",MTZQAGJQAFMTAQ-UHFFFAOYSA-N,-326.0,0.0,22.0,-312.43,455.0,0.0,22.0,420.51,3.0,ethyl-benzoate,0.0,0.0,0.0,3.0,1.0,0.0
1288,"ethyl 2,2,2-trichloroacetate",C4H5Cl3O2,0.0,1.0,515-84-4,21169510,10588.0,"InChI=1S/C4H5Cl3O2/c1-2-9-3(8)4(5,6)7/h2H2,1H3",SJMLNDPIJZBEKY-UHFFFAOYSA-N,,,,-458.67,,,,434.94,2.0,ethyl-222-trichloroacetate,0.0,0.0,0.0,3.0,1.0,0.0
1289,methyl hexanoate,C7H14O2,0.0,1.0,106-70-7,7536,7824.0,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",NUKZAGXMHTUAFE-UHFFFAOYSA-N,-492.2,0.0,19.0,-496.69,482.58,10.0,38.0,453.06,5.0,methyl-hexanoate,0.0,0.0,0.0,5.0,2.0,0.0
1290,methyl octanoate,C9H18O2,0.0,1.0,111-11-5,7800,8091.0,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3",JGHZJRVDZXSNKQ-UHFFFAOYSA-N,-533.9,0.0,19.0,-539.46,572.96,12.0,38.0,516.73,7.0,methyl-octanoate,0.0,0.0,0.0,7.0,2.0,0.0
1291,methyl pentanoate,C6H12O2,0.0,1.0,624-24-8,11706,12206.0,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",HNBDRPTVWVGKBR-UHFFFAOYSA-N,-471.1,0.0,19.0,-475.29,,,,421.14,4.0,methyl-pentanoate,0.0,0.0,0.0,4.0,2.0,0.0
1292,N-[dimethylamino(methyl)phosphoryl]-N-methylmethanamine,C5H15N2OP,0.0,1.0,2511-17-3,68159,75638.0,"InChI=1S/C5H15N2OP/c1-6(2)9(5,8)7(3)4/h1-5H3",YRWJRJCUZYGLPN-UHFFFAOYSA-N,,,,-417.18,,,,454.28,2.0,N--dimethylaminomethylphosphoryl--N-methylmethanamine,0.0,0.0,0.0,2.0,5.0,0.0
1293,1-(4-chlorophenyl)ethanone,C8H7ClO,0.0,1.0,99-91-2,13835126,7467.0,"InChI=1S/C8H7ClO/c1-6(10)7-2-4-8(9)5-3-7/h2-5H,1H3",BUZYGTVTZYSBCU-UHFFFAOYSA-N,,,,-117.83,,,,394.57,1.0,1-4-chlorophenylethanone,0.0,0.0,0.0,1.0,1.0,0.0
1294,4-methoxybenzaldehyde,C8H8O2,0.0,1.0,123-11-5,21105937,31244.0,"InChI=1S/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3",ZRSNZINYAWTAHE-UHFFFAOYSA-N,,,,-198.59,,,,385.13,2.0,4-methoxybenzaldehyde,0.0,0.0,0.0,2.0,1.0,0.0
1301,"propane-1,2-diol",C3H8O2,0.0,1.0,57-55-6,13835224,1030.0,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",DNIAPMSPPWPWGF-UHFFFAOYSA-N,-421.5,0.0,22.0,-426.83,314.03,0.0,38.0,318.95,1.0,propane-12-diol,0.0,0.0,0.0,1.0,1.0,0.0
1302,"(2S)-propane-1,2-diol",C3H8O2,0.0,1.0,4254-15-3,388890,439846.0,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",DNIAPMSPPWPWGF-VKHMYHEASA-N,-421.0,0.0,38.0,-426.83,308.5,7.0,38.0,318.95,1.0,2S-propa-12-diol,0.0,0.0,0.0,1.0,1.0,0.0
1303,"(2R)-propane-1,2-diol",C3H8O2,0.0,1.0,4254-14-2,228188,259994.0,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1",DNIAPMSPPWPWGF-GSVOUGTGSA-N,-421.0,0.0,38.0,-426.83,308.5,7.0,38.0,318.95,1.0,2R-propa-12-diol,0.0,0.0,0.0,1.0,1.0,0.0
1304,"(1E,5Z)-cycloocta-1,5-diene",C8H12,0.0,1.0,5259-71-2,18520443,,"InChI=1S/C8H12/c1-2-4-6-8-7-5-3-1/h1-2,7-8H,3-6H2/b2-1-,8-7+",,,,,151.03,,,,344.8,0.0,1E5Z-cycloocta-15-diene,3.0,0.0,0.0,0.0,0.0,0.0
1305,non-1-yne,C9H16,0.0,1.0,3452:9:4,17880,18937.0,"InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3",OSSQSXOTMIGBCF-UHFFFAOYSA-N,61.7,0.0,38.0,59.78,487.0,0.0,38.0,448.61,5.0,non-1-yne,0.0,0.0,0.0,5.0,1.0,0.0
1306,"2,4-dimethylpentan-3-ol",C7H16O,0.0,1.0,600-36-2,11259,11752.0,"InChI=1S/C7H16O/c1-5(2)7(8)6(3)4/h5-8H,1-4H3",BAYAKMPRFGNNFW-UHFFFAOYSA-N,-355.88,0.0,38.0,-366.25,450.98,10.0,38.0,414.24,2.0,24-dimethylpentan-3-ol,0.0,0.0,0.0,2.0,4.0,0.0
1307,"(2S,5R)-2,5-dimethyltetrahydrofuran",C6H12O,0.0,1.0,1003-38-9,13255,,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3",,-259.03,0.0,38.0,-265.08,,,,358.75,0.0,2S5R-25-dimethyltetrahydrofuran,2.0,0.0,0.0,0.0,2.0,0.0
1308,3-phenylpropan-1-ol,C9H12O,0.0,1.0,122-97-4,13871718,31234.0,"InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2",VAJVDSVGBWFCLW-UHFFFAOYSA-N,-156.0,0.0,22.0,-143.36,446.9,0.0,22.0,417.46,3.0,3-phenylpropan-1-ol,0.0,0.0,0.0,3.0,0.0,0.0
1309,heptan-4-one,C7H14O,0.0,1.0,123-19-3,28986,31246.0,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",HCFAJYNVAYBARA-UHFFFAOYSA-N,-301.1,0.0,22.0,-301.13,452.0,0.0,22.0,442.0,4.0,heptan-4-one,0.0,0.0,0.0,4.0,2.0,0.0
1310,4-methylpentan-2-one,C6H12O,0.0,1.0,108-10-1,7621,7909.0,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",NTIZESTWPVYFNL-UHFFFAOYSA-N,-286.4,0.0,22.0,-284.49,412.9,0.0,22.0,388.1,2.0,4-methylpentan-2-one,0.0,0.0,0.0,2.0,3.0,0.0
1311,di(propan-2-yl)cyanamide,C7H14N2,0.0,1.0,3085-76-5,68989,76520.0,"InChI=1S/C7H14N2/c1-6(2)9(5-8)7(3)4/h6-7H,1-4H3",DGCUISYKMONQDH-UHFFFAOYSA-N,,,,12.78,,,,440.83,2.0,dipropan-2-ylcyanamide,0.0,0.0,0.0,2.0,4.0,0.0
1312,dimethylcyanamide,C3H6N2,0.0,1.0,1467-79-4,14384,15112.0,InChI=1S/C3H6N2/c1-5(2)3-4/h1-2H3,OAGOUCJGXNLJNL-UHFFFAOYSA-N,,,,139.53,,,,317.79,0.0,dimethylcyanamide,0.0,0.0,0.0,0.0,2.0,0.0
1313,2-methyl-N-(phenylmethyl)propan-2-amine,C11H17N,0.0,1.0,3378-72-1,69359,,"InChI=1S/C11H17N/c1-11(2,3)12-9-10-7-5-4-6-8-10/h4-8,12H,9H2,1-3H3",,,,,-5.18,,,,467.24,3.0,2-methyl-N-phenylmethylpropan-2-amine,0.0,0.0,0.0,3.0,3.0,0.0
1314,N-methyl-1-phenylmethanamine,C8H11N,0.0,1.0,103-67-3,7386,7669.0,"InChI=1S/C8H11N/c1-9-7-8-5-3-2-4-6-8/h2-6,9H,7H2,1H3",RIWRFSMVIUAEBX-UHFFFAOYSA-N,,,,89.66,,,,382.23,2.0,N-methyl-1-phenylmethanamine,0.0,0.0,0.0,2.0,1.0,0.0
1315,benzoyl bromide,C7H5BrO,0.0,1.0,618-32-6,11559,12056.0,InChI=1S/C7H5BrO/c8-7(9)6-4-2-1-3-5-6/h1-5H,AQIHMSVIAGNIDM-UHFFFAOYSA-N,,,,-53.75,,,,377.63,1.0,benzoyl-bromide,0.0,0.0,0.0,1.0,0.0,0.0
1316,phenylmethanamine,C7H9N,0.0,1.0,100-46-9,7223,7504.0,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",WGQKYBSKWIADBV-UHFFFAOYSA-N,94.4,0.0,19.0,87.13,358.0,0.0,22.0,350.99,1.0,phenylmethanamine,0.0,0.0,0.0,1.0,0.0,0.0
1317,1-butylsulfanylbutane,C8H18S,0.0,1.0,544-40-1,10536,11002.0,"InChI=1S/C8H18S/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",HTIRHQRTDBPHNZ-UHFFFAOYSA-N,-166.9,0.0,22.0,-170.28,527.0,0.0,22.0,484.19,6.0,dibutyl-sulfide,0.0,0.0,0.0,6.0,2.0,0.0
1318,N-prop-2-enylprop-2-en-1-amine,C6H11N,0.0,1.0,124-02-7,21106561,31279.0,"InChI=1S/C6H11N/c1-3-5-7-6-4-2/h3-4,7H,1-2,5-6H2",DYUWTXWIYMHBQS-UHFFFAOYSA-N,133.5,0.0,22.0,140.17,417.1,0.0,22.0,373.84,4.0,N-prop-2-enylprop-2-en-1-amine,0.0,0.0,0.0,4.0,0.0,0.0
1320,1-ethoxy-2-(2-ethoxyethoxy)ethane,C8H18O3,0.0,1.0,112-36-7,21106583,8179.0,"InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",RRQYJINTUHWNHW-UHFFFAOYSA-N,-580.0,0.0,22.0,-576.69,585.0,0.0,22.0,518.77,8.0,1-ethoxy-2-2-ethoxyethoxyethane,0.0,0.0,0.0,8.0,2.0,0.0
1321,2-propan-2-ylsulfanylpropane,C6H14S,0.0,1.0,625-80-9,11761,12264.0,"InChI=1S/C6H14S/c1-5(2)7-6(3)4/h5-6H,1-4H3",XYWDPYKBIRQXQS-UHFFFAOYSA-N,-142.67,0.0,22.0,-146.45,415.47,0.0,22.0,412.25,2.0,2-propan-2-ylsulfanylpropane,0.0,0.0,0.0,2.0,4.0,0.0
1322,dodecanenitrile,C12H23N,0.0,1.0,2437-25-4,16177,17092.0,"InChI=1S/C12H23N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-11H2,1H3",VXCUURYYWGCLIH-UHFFFAOYSA-N,-133.51,0.0,38.0,-138.71,604.78,0.0,38.0,571.58,9.0,dodecanenitrile,0.0,0.0,0.0,9.0,1.0,0.0
1323,ethoxybenzene,C8H10O,0.0,1.0,103-73-1,7391,7674.0,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",DLRJIFUOBPOJNS-UHFFFAOYSA-N,-101.6,0.0,22.0,-106.09,402.0,0.0,22.0,374.01,2.0,phenetole,0.0,0.0,0.0,2.0,1.0,0.0
1324,ethyl 2-hydroxybenzoate,C9H10O3,0.0,1.0,118-61-6,21105897,8365.0,"InChI=1S/C9H10O3/c1-2-12-9(11)7-5-3-4-6-8(7)10/h3-6,10H,2H2,1H3",GYCKQBWUSACYIF-UHFFFAOYSA-N,,,,-498.74,,,,432.05,3.0,ethyl-2-hydroxybenzoate,0.0,0.0,1.0,3.0,1.0,0.0
1327,methyl decanoate,C11H22O2,0.0,1.0,110-42-9,7759,8050.0,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3",YRHYCMZPEVDGFQ-UHFFFAOYSA-N,-574.89,0.0,22.0,-582.25,634.4,0.0,22.0,580.44,9.0,methyl-decanoate,0.0,0.0,0.0,9.0,2.0,0.0
1331,methylsulfanylbenzene,C7H8S,0.0,1.0,100-68-5,7239,7520.0,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",HNKJADCVZUBCPG-UHFFFAOYSA-N,95.73,0.0,22.0,90.89,428.3,0.0,22.0,364.56,1.0,methylsulfanylbenzene,0.0,0.0,0.0,1.0,1.0,0.0
1332,methylcyclohexane,C7H14,0.0,1.0,108-87-2,7674,7962.0,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",UAEPNZWRGJTJPN-UHFFFAOYSA-N,-154.8,0.0,22.0,-153.53,343.3,0.0,22.0,341.04,0.0,methylcyclohexane,3.0,0.0,0.0,0.0,1.0,0.0
1333,heptanoic acid,C7H14O2,0.0,1.0,111-14-8,7803,8094.0,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)",MNWFXJYAOYHMED-UHFFFAOYSA-N,-536.2,0.0,22.0,-517.11,480.0,0.0,22.0,443.94,5.0,heptanoic-acid,0.0,0.0,0.0,5.0,1.0,0.0
1334,pentadecane,C15H32,0.0,1.0,629-62-9,11885,12391.0,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",YCOZIPAWZNQLMR-UHFFFAOYSA-N,-353.11,0.0,22.0,-359.99,741.81,0.0,22.0,657.03,12.0,pentadecane,0.0,0.0,0.0,12.0,2.0,0.0
1335,piperidine-1-carbonitrile,C6H10N2,0.0,1.0,1530-87-6,66378,73736.0,InChI=1S/C6H10N2/c7-6-8-4-2-1-3-5-8/h1-5H2,NVPICXQHSYQKGM-UHFFFAOYSA-N,,,,104.04,,,,352.87,0.0,piperidine-1-carbonitrile,3.0,0.0,0.0,0.0,0.0,0.0
