# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
600,sulfane,H2S,0,1,7783:6:5,391,402,InChI=1S/H2S/h1H2,RWSOTUBLDIXVET-UHFFFAOYSA-N,-20.63,0,22,-19.39,205.6,0,22,205.64,0,hydrogen-sulfide
601,oxidanium,H3O+,1,1,13968-08-6,109935,123332,InChI=1S/H2O/h1H2/p+1,XLYOFNOQVPJJNP-UHFFFAOYSA-O,,,,603.04,,,,193.37,0,hydronium
602,arsinous acid,AsH3O,0,1,25400-21-9,4574065,5460564,"InChI=1S/AsH3O/c1-2/h2H,1H2",YCIGZDYVFLDJHX-UHFFFAOYSA-N,,,,-113.14,,,,265.9,0,hydroxyarsine
603,lambda-1-oxidane,HO,0,2,3352-57-6,138477,,InChI=1S/HO/h1H,,39,0,19,36.13,183.7,0,19,178.18,0,hydroxyde
604,hydroxide,HO-,-1,1,,936,961,InChI=1S/H2O/h1H2/p-1,XLYOFNOQVPJJNP-UHFFFAOYSA-M,,,,-144.71,,,,172.44,0,hydroxyde-
605,hydroxylamine,H3NO,0,1,7803-49-8,766,787,"InChI=1S/H3NO/c1-2/h2H,1H2",AVXURJPOCDRRFD-UHFFFAOYSA-N,-50,0,22,-41.3,235.8,0,22,234.85,0,hydroxylamine
606,hypochlorous acid,ClHO,0,1,7790-92-3,22757,24341,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N,-78.7,0,22,-74.29,236.56,0,22,236.41,0,hypochlorous-acid
607,hypofluorous acid,FHO,0,1,14034-79-8,109936,123334,InChI=1S/FHO/c1-2/h2H,AQYSYJUIMQTRMV-UHFFFAOYSA-N,,,,-85.26,,,,226.2,0,hypofluorous-acid
608,1H-imidazole,C3H4N2,0,1,288-32-4,773,795,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",RAXXELZNTBOGNW-UHFFFAOYSA-N,132.9,0,19,130.22,,,,272.65,0,imidazole
609,lambda-1-azane,HN,0,3,13774-92-0,4574105,,InChI=1S/HN/h1H,,356.48,1.67,24,355.72,181.2,0,19,181.06,0,imidogen
622,2-methylpropanal,C4H8O,0,1,78-84-2,6313,6561,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",AMIMRNSIRUDHCM-UHFFFAOYSA-N,-215.8,0,22,-214.2,331.2,0,22,322.97,1,isobutanal-gauche
624,2-methylpropyl acetate,C6H12O2,0,1,110-19-0,7747,8038,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",GJRQTCIYDGXPES-UHFFFAOYSA-N,-494.7,0,22,-466.67,441,0,22,410.2,3,isobutyl-acetate
626,2-methylpropan-1-amine,C4H11N,0,1,78-81-9,6310,6558,"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3",KDSNLYIMUZNERS-UHFFFAOYSA-N,-98.8,0,22,-95.48,351,0,22,330.13,1,isobutylamine
627,2-methylpropyl formate,C5H10O2,0,1,542-55-2,10492,10957,"InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3",AVMSWPWPYJVYKY-UHFFFAOYSA-N,-436.3,0,22,-425.81,406.6,0,22,379.04,3,isobutyl-formate
628,tert-butyl formate,C5H10O2,0,1,762-75-4,55151,61207,"InChI=1S/C5H10O2/c1-5(2,3)7-4-6/h4H,1-3H3",RUPAXCPQAAOIPB-UHFFFAOYSA-N,-465.1,0,22,-462.88,371.7,0,22,361.19,2,tert-butyl-formate
629,isocyanic acid,CHNO,0,1,75-13-8,6107,6347,InChI=1S/CHNO/c2-1-3/h2H,OWIKHYCFFJSOEH-UHFFFAOYSA-N,,,,-119.72,238,0,19,238.33,0,isocyanic-acid
630,isocyanobenzene,C7H5N,0,1,931-54-4,13017,13606,InChI=1S/C7H5N/c1-8-7-5-3-2-4-6-7/h2-6H,RCIBIGQXGCBBCT-UHFFFAOYSA-N,,,,303.48,,,,330,0,isocyanobenzene
631,isocyanocyclopropane,C4H5N,0,1,58644-53-4,2038767,2758008,"InChI=1S/C4H5N/c1-5-4-2-3-4/h4H,2-3H2",AMIXWJQKUQVEEC-UHFFFAOYSA-N,,,,280.96,,,,294.38,0,isocyanocyclopropane
632,"(2S,3S)-2-amino-3-methylpentanoic acid",C6H13NO2,0,1,73-32-5,6067,6306,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",AGPKZVBTJJNPAG-WHFBIAKZSA-N,,,,-489.27,,,,416.06,3,isoleucine
633,2-methylbutane,C5H12,0,1,78-78-4,6308,6556,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",QWTDNUCVQCZILF-UHFFFAOYSA-N,-153.7,0,22,-148.97,343.74,0,22,333.23,1,isopentane
634,"4-methyl-2,6,7-trioxa-1-lambda-5-phosphabicyclo[2.2.2]octane 1-oxide",C5H9O4P,0,1,1449-89-4,14338,,"InChI=1S/C5H9O4P/c1-5-2-7-10(6,8-3-5)9-4-5/h2-4H2,1H3",,,,,-1005.14,,,,391.8,0,4-methyl-267-trioxa-1-phosphabicyclo-222-octane-1-oxide
635,cumene,C9H12,0,1,98-82-8,7128,7406,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",RWGFKTVRMDUZSP-UHFFFAOYSA-N,4,0,22,0.08,386,0,22,380.92,1,isopropylbenzene
636,2-methoxypropane,C4H10O,0,1,598-53-8,11228,11721,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",RMGHERXMTMUMMV-UHFFFAOYSA-N,-252,0,22,-252.71,341.6,0,22,332.28,1,isopropyl-methyl-ether
637,propan-2-yl nitrate,C3H7NO3,0,1,1712-64-7,14818,15575,"InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3",GAPFWGOSHOCNBM-UHFFFAOYSA-N,-191,0,38,-197.93,373.92,0,38,356.2,1,isopropyl-nitrate
638,isoquinoline,C9H7N,0,1,119-65-3,8098,8405,InChI=1S/C9H7N/c1-2-4-9-7-10-6-5-8(9)3-1/h1-7H,AWJUIBRHMBBTKR-UHFFFAOYSA-N,208.4,0,22,200.35,365.2,0,22,341.7,0,isoquinoline
639,"1,2-oxazole",C3H3NO,0,1,288-14-2,8897,9254,InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H,CTAPFRYPJLPFDF-UHFFFAOYSA-N,82.02,0,22,79.74,,,,270.34,0,isoxazole
640,ethenone,C2H2O,0,1,463-51-4,9643,10038,InChI=1S/C2H2O/c1-2-3/h1H2,CCGKOQOJPYTBIH-UHFFFAOYSA-N,-47.5,0,22,-49.17,247.53,0,22,246.94,0,ketene
641,(2S)-2-amino-4-methylpentanoic acid,C6H13NO2,0,1,61-90-5,5880,6106,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/p-1/t5-/m1/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,-486.8,0,19,-495.68,,,,417.53,3,leucine
642,lithium bromide,LiBr,0,1,7550-35-8,74049,,"InChI=1S/BrH.Li/h1H;/q;+1/p-1",,-153.97,0,38,-145.87,224.38,0,38,224.21,0,lithium-bromide
643,lithium chloride,LiCl,0,1,7447-41-8,22449,,"InChI=1S/ClH.Li/h1H;/q;+1/p-1",,-195.72,0,38,-189.78,212.92,0,38,212.66,0,lithium-chloride
