Receptor,PathFeatures
6.0,"['766334001001', '667344011011', '6716444110110', '7166443102101', '1666433022011', '667333220110', '676333200100', '766334003001', '667344033011', '6716444330110', '7168443300100']"
6.0,"['766333011011', '6616334110110', '6168343100100']"
1.0,"['766343000000', '667433000000', '676334000000', '766344000000', '666443000000', '667433000000', '676334000000', '766343000000', '668433000000']"
4.0,"['866444001001', '668444011011', '686444111111', '867443112111', '676434122112', '767343223121']"
2.0,"['767333011011', '676334111112', '767343112121', '676434123211', '768344233111', '686444333111', '866444330110', '668444300100']"
5.0,"['866444000000', '666444000000', '667444000000']"
1.0,"['766344000000', '666444000000', '667444001001', '676444011011', '766443110110', '668433100100']"
1.0,"['866444000000', '667443000000', '676433000000', '768333000000']"
4.0,"['866333011011', '666334110110', '667344100100', '676444000000', '766443002001', '667433022011']"
4.0,"['766444112121', '666443123211', '667433233111']"
4.0,"['766444111112', '666444112121', '666443123211', '667433233111']"
0.0,"['866444001002', '666443011021', '668433110210']"
1.0,"['766343000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '668433000000']"
3.0,"['866444000000', '668443000000', '686433001001', '866333011011', '668333110110']"
1.0,"['866444000000', '666444001001', '667443011011', '676433111112', '766333112121', '666333120210', '668333200100']"
0.0,"['866444011011', '666444111111', '666444112111', '666444122112', '666443223121', '668433230210']"
6.0,"['767333110110', '6716334100100', '7168343000000']"
1.0,"['867444001001', '676444011011', '766443110110', '668433100100']"
0.0,"['866444001001', '668444011011', '686444111111', '867443112111', '676433122111', '768333220110']"
1.0,"['866444001001', '667443011011', '676433110110', '768333100100']"
1.0,"['766334001001', '666344011011', '666443110110', '668433100100']"
2.0,"['866443001001', '666433011011', '666334110110', '668344100100']"
2.0,"['866444001001', '666444011011', '668444110110']"
4.0,"['866444000000', '667443001001', '677433011011']"
6.0,"['767333000000', '6716334000000', '7168343000000']"
3.0,"['766444010010', '666444100100', '668444000000']"
6.0,"['866444011011', '666444111111', '667444110110', '6716444100100', '7168443000000']"
1.0,"['866334000000', '667343000000', '676434000000', '766343000000', '668433000000']"
0.0,"['866333011011', '666334110110', '666343102101', '666433022011', '668333220110']"
6.0,"['866444011011', '6616444110110', '6168443100100']"
2.0,"['766333001001', '666333011011', '668333110110']"
3.0,"['866444000000', '666444001001', '668443011011']"
1.0,"['866333000000', '666333000000', '666333000000', '668333000000']"
